id,title,abstract,authors,year,venue,search_strings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"104,A Large-Scale Empirical Study on Fine-Tuning Large Language Models for Unit Testing,""Unit testing plays a pivotal role in software development, improving software quality and reliability. However, generating effective test cases manually is time-consuming, prompting interest in unit testing research. Recently, Large Language Models (LLMs) have shown potential in various unit testing tasks, including test generation, assertion generation, and test evolution, but existing studies are limited in scope and lack a systematic evaluation of the effectiveness of LLMs.To bridge this gap, we present a large-scale empirical study on fine-tuning LLMs for unit testing. Our study involves three unit testing tasks, five benchmarks, eight evaluation metrics, and 37 popular LLMs across various architectures and sizes, consuming over 3,000 NVIDIA A100 GPU hours. We focus on three key research questions: (1) the performance of LLMs compared to state-of-the-art methods, (2) the impact of different factors on LLM performance, and (3) the effectiveness of fine-tuning versus prompt engineering. Our findings reveal that LLMs outperform existing state-of-the-art approaches on all three unit testing tasks across nearly all metrics, highlighting the potential of fine-tuning LLMs in unit testing tasks. Furthermore, large-scale, decoder-only models achieve the best results across tasks, while encoder-decoder models perform better under the same parameter scale. Additionally, the comparison of the performance between fine-tuning and prompt engineering approaches reveals the considerable potential capability of the prompt engineering approach in unit testing tasks. We then discuss the concerned issues on the test generation task, including data leakage issues, bug detection capabilities, and metrics comparisons. Finally, we further pinpoint carious practical guidelines for LLM-based approaches to unit testing tasks in the near future. Overall, our work demonstrates the promising future of fine-tuning LLMs on unit testing tasks and reduces the manual efforts of unit testing experts in practical scenarios."",""Shang, Ye"; Zhang, Quanjun; Fang, Chunrong; Gu, Siqi; Zhou, Jianyi;" Chen, Zhenyu"",2025,Proceedings of the ACM on Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"105,Improving FIM Code Completions via Context & Curriculum Based Learning,""Fill-in-the-Middle (FIM) models play a vital role in code completion tasks, leveraging both prefix and suffix context to provide more accurate and contextually relevant suggestions. This paper presents approaches to improve FIM code completion while addressing the challenge of maintaining low latency for real-time coding assistance. We enhance FIM code completion by incorporating context and curriculum examples in the training process. We identify patterns where completion suggestions fail more frequently, revealing complexities that smaller language models struggle with. To address these challenges, we develop a curriculum dataset by extracting hard-to-complete patterns from code repositories and generate context examples using semantic and static analysis tools (e.g. TSC compiler). We fine-tune various sized models, including StarCoder and DeepSeek, on this enhanced dataset. Our evaluation encompasses three key dimensions: the Santa Coder FIM task, the Amazon CCEval benchmark, and a new Multi-Line Infilling evaluation benchmark derived from SWE-bench. Comprehensive ablation studies across multiple model sizes reveal that while all fine-tuned models show improvements, the performance gains are more pronounced for smaller parameter models and that incorporating difficult-to-complete examples as part of curriculum learning improves completion performance. This finding is particularly sig- nificant given the latency constraints of code completion tasks. While larger models like GPT and Claude perform well in multi- line completions but are prohibitively challenging to use given high latency, and our fine-tuned models achieve a balance between per- formance and latency. Finally, we validate our approach through online A/B testing, demonstrating tangible improvements in Completion Acceptance Rate (CAR) and Completion Persistence Rate (CPR), with zero latency impact."",""Sagtani, Hitesh"; Mehrotra, Rishabh;" Liu, Beyang"",2025,Proceedings of the Eighteenth ACM International Conference on Web Search and Data Mining,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"106,Brevity is the Soul of Wit: Condensing Code Changes to Improve Commit Message Generation,,""Kuang, Hongyu"; Zhang, Ning; Gao, Hui; Zhou, Xin; Assuncao, Wesley K. G.; Ma, Xiaoxing; Shao, Dong; Rong, Guoping;" Zhang, He"",2025,Proceedings of the 16th International Conference on Internetware,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"107,Oracle-Guided Program Selection from Large Language Models,""While large language models (LLMs) have shown significant advancements in code generation, their susceptibility to producing incorrect code poses a significant challenge to the adoption of LLM-generated programs. This issue largely stems from the reliance on natural language descriptions as informal oracles in code generation. Current strategies to mitigate this involve selecting the best program from multiple LLM-generated alternatives, judged by criteria like the consistency of their execution results on an LLM-generated test suite. However, this approach has crucial limitations: (1) LLMs often generate redundant tests or tests that cannot distinguish between correct and incorrect solutions, (2) the used consistency criteria, such as the majority vote, fail to foster developer trust due to the absence of transparent rationale behind the made choices. In this work, we propose a new perspective on increasing the quality of LLM-generated code via program selection using the LLM as a test oracle. Our method is based on our experimentally confirmed observation that LLMs serve more effectively as oracles when tasked with selecting the correct output from multiple choices. Leveraging this insight, we first generate distinguishing inputs that capture semantic discrepancies of programs sampled from an LLM, and record outputs produced by the programs on these inputs. An LLM then selects the most likely to be correct output from these, guided by the natural language problem description. We implemented this idea in a tool LLMCodeChoice and evaluated its accuracy in generating and selecting standalone programs. Our experiments demonstrated its effectiveness in improving pass@1 by 3.6-7% on HumanEval and MBPP benchmarks compared to the state-of-art CodeT. Most interestingly, the selected input-output specifications helped us to uncover incompleteness and ambiguities in task descriptions and also identify incorrect ground-truth implementations in the benchmarks."",""Fan, Zhiyu"; Ruan, Haifeng; Mechtaev, Sergey;" Roychoudhury, Abhik"",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"108,Reasoning and Planning with Large Language Models in Code Development,""Large Language Models (LLMs) are revolutionizing the field of code development by leveraging their deep understanding of code patterns, syntax, and semantics to assist developers in various tasks, from code generation and testing to code understanding and documentation. In this survey, accompanying our proposed lecture-style tutorial for KDD 2024, we explore the multifaceted impact of LLMs on the code development, delving into techniques for generating a high-quality code, creating comprehensive test cases, automatically generating documentation, and engaging in an interactive code reasoning. Throughout the survey, we highlight some crucial components surrounding LLMs, including pre-training, fine-tuning, prompt engineering, iterative refinement, agent planning, and hallucination mitigation. We put forward that such ingredients are essential to harness the full potential of these powerful AI models in revolutionizing software engineering and paving the way for a more efficient, effective, and innovative future in code development."",""Ding, Hao"; Fan, Ziwei; Guehring, Ingo; Gupta, Gaurav; Ha, Wooseok; Huan, Jun; Liu, Linbo; Omidvar-Tehrani, Behrooz; Wang, Shiqi;" Zhou, Hao"",2024,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"109,Evaluating Large Language Models in Class-Level Code Generation,""Recently, many large language models (LLMs) have been proposed, showing advanced proficiency in code generation. Meanwhile, many efforts have been dedicated to evaluating LLMs on code generation benchmarks such as HumanEval. Although being very helpful for comparing different LLMs, existing evaluation focuses on a simple code generation scenario (i.e., function-level or statement-level code generation), which mainly asks LLMs to generate one single code unit (e.g., a function or a statement) for the given natural language description. Such evaluation focuses on generating independent and often small-scale code units, thus leaving it unclear how LLMs perform in real-world software development scenarios.To fill this knowledge gap, we make the first attempt to evaluate LLMs in a more challenging code generation scenario, i.e., class-level code generation. Compared with existing code generation benchmarks, it better reflects real-world software development scenarios due to it comprising broader contextual dependencies and multiple, interdependent units of code. We first manually construct the first class-level code generation benchmark ClassEval of 100 class-level Python code generation tasks with approximately 500 person-hours. Based on the new benchmark ClassEval, we then perform the first study of 11 state-of-the-art LLMs on class-level code generation. Based on our results, we find that all LLMs perform much worse on class-level code generation compared to the method-level. While GPT models still dominate other LLMs on class-level code generation, the performance rankings of other models on method-level code generation no longer holds for class-level code generation. Besides, most models (except GPT models) perform better when generating the class method by method";" and they have the limited ability of generating dependent code. Based on our findings, we call for software engineering (SE) researchers' expertise to build more LLM benchmarks based on practical and complicated software development scenarios."",""Du, Xueying"; Liu, Mingwei; Wang, Kaixin; Wang, Hanlin; Liu, Junwei; Chen, Yixuan; Feng, Jiayi; Sha, Chaofeng; Peng, Xin;" Lou, Yiling"",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;
"110,Automated Program Repair via Conversation: Fixing 162 out of 337 Bugs for $0.42 Each using ChatGPT,""Automated Program Repair (APR) aims to automatically generate patches for buggy programs. Traditional APR techniques suffer from a lack of patch variety as they rely heavily on handcrafted or mined bug fixing patterns and cannot easily generalize to other bug/fix types. To address this limitation, recent APR work has been focused on leveraging modern Large Language Models (LLMs) to directly generate patches for APR. Such LLM-based APR tools work by first constructing an input prompt built using the original buggy code and then querying the LLM to either fill-in (cloze-style APR) the correct code at the bug location or to produce a completely new code snippet as the patch. While the LLM-based APR tools are able to achieve state-of-the-art results, they still follow the classic Generate and Validate (GV) repair paradigm of first generating lots of patches by sampling from the same initial prompt and then validating each one afterwards. This not only leads to many repeated patches that are incorrect, but also misses the crucial and yet previously ignored information in test failures as well as in plausible patches. To address these aforementioned limitations, we propose ChatRepair, the first fully automated conversation-driven APR approach that interleaves patch generation with instant feedback to perform APR in a conversational style. ChatRepair first feeds the LLM with relevant test failure information to start with, and then learns from both failures and successes of earlier patching attempts of the same bug for more powerful APR. For earlier patches that failed to pass all tests, we combine the incorrect patches with their corresponding relevant test failure information to construct a new prompt for the LLM to generate the next patch. In this way, we can avoid making the same mistakes. For earlier patches that passed all the tests (i.e., plausible patches), we further ask the LLM to generate alternative variations of the original plausible patches. In this way, we can further build on and learn from earlier successes to generate more plausible patches to increase the chance of having correct patches. While our approach is general, we implement ChatRepair using state-of-the-art dialogue-based LLM – ChatGPT. Our evaluation on the widely studied Defects4j dataset shows that ChatRepair is able to achieve the new state-of-the-art in repair performance, achieving 114 and 48 correct fixes on Defects4j 1.2 and 2.0 respectively. By calculating the cost of accessing ChatGPT, we can fix 162 out of 337 bugs for $0.42 each!"",""Xia, Chunqiu Steven";" Zhang, Lingming"",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"111,Automating a Complete Software Test Process Using LLMs: An Automotive Case Study,""Vehicle API testing verifies whether the interactions between a vehicle's internal systems and external applications meet expectations, ensuring that users can access and control various vehicle functions and data. However, this task is inherently complex, requiring the alignment and coordination of API systems, communication protocols, and even vehicle simulation systems to develop valid test cases. In practical industrial scenarios, inconsistencies, ambiguities, and interdependencies across various documents and system specifications pose significant challenges. This paper presents a system designed for the automated testing of in-vehicle APIs. By clearly defining and segmenting the testing process, we enable Large Language Models (LLMs) to focus on specific tasks, ensuring a stable and controlled testing workflow. Experiments conducted on over 100 APIs demonstrate that our system effectively automates vehicle API testing. The results also confirm that LLMs can efficiently handle mundane tasks requiring human judgment, making them suitable for complete automation in similar industrial contexts."",""Wang, Shuai"; Yu, Yinan; Feldt, Robert;" Parthasarathy, Dhasarathy"",2025,Proceedings of the IEEE/ACM 47th International Conference on Software Engineering,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"112,Enhancing the Resiliency of Automated Web Tests with Natural Language,,""Ayli, Maroun"; Bakouny, Youssef; Jalloul, Nader;" Kilany, Rima"",2024,""Proceedings of the 2024 4th International Conference on Artificial Intelligence, Automation and Algorithms"",String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"113,From Fine-tuning to Output: An Empirical Investigation of Test Smells in Transformer-Based Test Code Generation,""Researchers have recently leveraged transformer-based test code generation models to improve testing-related tasks (e.g., assert completion and test method generation). One such model, AthenaTest, has been recently introduced, and it has been well accepted by developers due to its ability to generate test cases similar to the ones written by developers. While the AthenaTest model provides adequate test coverage and improves test code readability, concerns remain regarding the quality of its generated test code, particularly the presence of test smells, which could degrade the test code's comprehension, readability, performance, and maintainability. In this paper, we investigated whether test cases generated by a transformer-based test code generation model - AthenaTest, contain test smells, including the presence of test smells in its fine-tuning dataset (Methods2Test). We evaluated seven test smells in AthenaTest's and Methods2Test's test cases. Our results reveal that 65% of Methods2Test's test cases contain test smells, which influence the output of AthenaTest, where 62% of its test cases contain at least one test smell. We also examined the design (test size and assertion frequency) of AthenaTest and Methods2Test test cases. Our findings show that AthenaTest tends to generate more assertions than the Methods2Test test case, which influenced the model to increase the occurrence rate of Assertion Roulette and Duplicate Assert smells."",""Aljohani, Ahmed";" Do, Hyunsook"",2024,Proceedings of the 39th ACM/SIGAPP Symposium on Applied Computing,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"114,TestSpark: IntelliJ IDEA's Ultimate Test Generation Companion,""Writing software tests is laborious and time-consuming. To address this, prior studies introduced various automated test-generation techniques. A well-explored research direction in this field is unit test generation, wherein artificial intelligence (AI) techniques create tests for a method/class under test. While many of these techniques have primarily found applications in a research context, existing tools (e.g., EvoSuite, Randoop, and AthenaTest) are not user-friendly and are tailored to a single technique. This paper introduces Test-Spark, a plugin for IntelliJ IDEA that enables users to generate unit tests with only a few clicks directly within their Integrated Development Environment (IDE). Furthermore, TestSpark also allows users to easily modify and run each generated test and integrate them into the project workflow. TestSpark leverages the advances of search-based test generation tools, and it introduces a technique to generate unit tests using Large Language Models (LLMs) by creating a feedback cycle between the IDE and the LLM. Since TestSpark is an open-source (https://github.com/JetBrains-Research/TestSpark), extendable, and well-documented tool, it is possible to add new test generation methods into the plugin with the minimum effort. This paper also explains our future studies related to TestSpark and our preliminary results. Demo video: https://youtu.be/0F4PrxWfiXo"",""Sapozhnikov, Arkadii"; Olsthoorn, Mitchell; Panichella, Annibale; Kovalenko, Vladimir;" Derakhshanfar, Pouria"",2024,Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"115,Exploring the Impact of the Output Format on the Evaluation of Large Language Models for Code Translation,""Code translation between programming languages is a long-existing and critical task in software engineering, facilitating the modernization of legacy systems, ensuring cross-platform compatibility, and enhancing software performance. With the recent advances in large language models (LLMs) and their applications to code translation, there is an increasing need for comprehensive evaluation of these models. In this study, we empirically analyze the generated outputs of eleven popular instruct-tuned LLMs with parameters ranging from 1B up to 46.7B on 3,820 translation pairs across five languages, including C, C++, Go, Java, and Python. Our analysis found that between 26.4% and 73.7% of code translations produced by our evaluated LLMs necessitate post-processing, as these translations often include a mix of code, quotes, and text rather than being purely source code. Overlooking the output format of these models can inadvertently lead to underestimation of their actual performance. This is particularly evident when evaluating them with execution-based metrics such as Computational Accuracy (CA). Our results demonstrate that a strategic combination of prompt engineering and regular expression can effectively extract the source code from the model generation output. In particular, our method can help eleven selected models achieve an average Code Extraction Success Rate (CSR) of 92.73%. Our findings shed light on and motivate future research to conduct more reliable benchmarks of LLMs for code translation."",""Macedo, Marcos"; Tian, Yuan; Cogo, Filipe;" Adams, Bram"",2024,Proceedings of the 2024 IEEE/ACM First International Conference on AI Foundation Models and Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"116,ReproCopilot: LLM-Driven Failure Reproduction with Dynamic Refinement,""Failure reproduction is a crucial step for debugging software systems, but it is often challenging and time-consuming, especially when the failures are caused by complex inputs, states, or environments. In this paper, we present ReproCopilot, a tool that leverages program analysis and a large language model (LLM) to generate a workload (i.e., code and inputs) that can reproduce a given failure. ReproCopilot proposes two novel techniques: state-oriented code generation and dynamic refinement. These techniques can iteratively guide the LLM with program analysis feedback until the generated workload can successfully reproduce the target failure. We evaluate ReproCopilot on 50 real-world failures from 17 open-source projects, and show that it can reproduce 76% of them, significantly outperforming the-state-of-the-art solutions."",""Leesatapornwongsa, Tanakorn"; Faisal, Fazle;" Nath, Suman"",2025,Proceedings of the ACM on Software Engineering,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"117,The Robots Are Here: Navigating the Generative AI Revolution in Computing Education,""Recent advancements in artificial intelligence (AI) and specifically generative AI (GenAI) are threatening to fundamentally reshape computing and society. Largely driven by large language models (LLMs), many tools are now able to interpret and generate both natural language instructions and source code. These capabilities have sparked urgent questions in the computing education community around how educators should adapt their pedagogy to address the challenges and to leverage the opportunities presented by this new technology. In this working group report, we undertake a comprehensive exploration of generative AI in the context of computing education and make five significant contributions. First, we provide a detailed review of the literature on LLMs in computing education and synthesise findings from 71 primary articles, nearly 80% of which have been published in the first 8 months of 2023. Second, we report the findings of a survey of computing students and instructors from across 20 countries, capturing prevailing attitudes towards GenAI/LLMs and their use in computing education contexts. Third, to understand how pedagogy is already changing, we offer insights collected from in-depth interviews with 22 computing educators from five continents. Fourth, we use the ACM Code of Ethics to frame a discussion of ethical issues raised by the use of large language models in computing education, and we provide concrete advice for policy makers, educators, and students. Finally, we benchmark the performance of several current GenAI models/tools on various computing education datasets, and highlight the extent to which the capabilities of current models are rapidly improving.There is little doubt that LLMs and other forms of GenAI will have a profound impact on computing education over the coming years. However, just as the technology will continue to improve, so will our collective knowledge about how to leverage these new models and tools in educational settings. We expect many important conversations around this topic will emerge as the community explores how to provide more effective, inclusive, and personalised learning experiences. Our aim is that this report will serve as a focal point for both researchers and practitioners who are exploring, adapting, using, and evaluating GenAI and LLM-based tools in computing classrooms."",""Prather, James"; Denny, Paul; Leinonen, Juho; Becker, Brett A.; Albluwi, Ibrahim; Craig, Michelle; Keuning, Hieke; Kiesler, Natalie; Kohn, Tobias; Luxton-Reilly, Andrew; MacNeil, Stephen; Petersen, Andrew; Pettit, Raymond; Reeves, Brent N.;" Savelka, Jaromir"",2023,Proceedings of the 2023 Working Group Reports on Innovation and Technology in Computer Science Education,String A";;;;;;;;;;;;;;;;;;;;;;;
"118,Automated Generation and Compilation of Fuzz Driver Based on Large Language Models,""Fuzz drivers are essential components of library fuzz testing, yet automatically generating correct and robust fuzz drivers and executing them is challenging. The predominant approach to fuzz testing libraries and their function interfaces involves security experts manually writing test drivers for fuzz testers. In contrast, generation based on LLMs (Large Language Models) is a promising direction, as it can operate with lower requirements on consumer programs, utilizes API (Application Programming Interface) usage information across multiple dimensions, and generates user-friendly output code. However, there is currently no fully automated method for driver generation and compilation. To address this issue, this paper has designed an automated method for generating and compiling drivers, and has evaluated the quality of the drivers it produces. Evaluation results indicate that drivers generated by large language models perform nearly as well in coverage as those written manually, and the generated compilation commands achieve an accuracy of 75%."",""Sun, Yuxuan"",2024,Proceedings of the 2024 9th International Conference on Cyber Security and Information Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"119,Beyond Functional Correctness: A Knowledge-Enhanced Iterative Framework for Generating Criteria-Compliant Code,""While Large Language Models (LLMs) show great potential in code generation, their application in safety-critical domains is strictly constrained by mandatory standards like MISRA C. Our empirical study confirms this critical gap: state-of-the-art LLMs universally fail to comply with MISRA C criteria, and naïve self-refinement often leads to a “refinement-worsens-violation” dilemma. To address the dual challenge, we propose HI-MISRA, a Hybrid Iterative Refinement Framework. HI-MISRA tackles these challenges through two key innovations: (1) Knowledge-Enhanced Prioritized Refinement, which first applies deterministic fixes for simple violations, then guides the LLM to refine severity-prioritized batches of complex violations by injecting dynamic knowledge";" and (2) Iterative Refinement with Regression Prevention, which employs a three-stage “compilation-functionality-compliance” verification pipeline to ensure that each modification yields a net improvement, while a dynamic suspension strategy prevents the refinement from getting stuck in ineffective loops. Experiments across LLMs, including GPT-5, Gemini-2.5-Flash, Claude-3.7-Sonnet, and DeepSeek-V3.1, demonstrate the superior performance of HI-MISRA. For instance, HI-MISRA achieves a 92.5% triple-pass rate (compilation, functionality, compliance) based on GPT-5, far surpassing the baseline (62.0%) at a similar cost and outperforming the best existing method (78.5% with higher costs). Experimental results offer a practical pathway for the deployment of LLMs in the safety-critical domain."",""Zhang, Yating"; Dong, Wei; Wang, Shangwen; Zhang, Jing; Zhang, Siyu;" Liu, Jiaxin"",,ACM Transactions on Software Engineering and Methodology,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"120,Investigating Documented Privacy Changes in Android OS,""Android has empowered third-party apps to access data and services on mobile devices since its genesis.This involves a wide spectrum of user privacy-sensitive data, such as the device ID and location. In recent years, Android has taken proactive measures to adapt its access control policies for such data, in response to the increasingly strict privacy protection regulations around the world. When each new Android version is released, its privacy changes induced by the version evolution are transparently disclosed, and we refer to them as documented privacy changes (DPCs). Implementing DPCs in Android OS is a non-trivial task, due to not only the dispersed nature of those access control points within the OS, but also the challenges posed by backward compatibility. As a result, whether the actual access control enforcement in the OS implementations aligns with the disclosed DPCs becomes a critical concern.In this work, we conduct the first systematic study on the consistency between the operational behaviors of the OS at runtime and the officially disclosed DPCs. We propose DopCheck, an automatic DPC-driven testing framework equipped with a large language model (LLM) pipeline. It features a serial of analysis to extract the ontology from the privacy change documents written in natural language, and then harnesses the few-shot capability of LLMs to construct test cases for the detection of DPC-compliance issues in OS implementations.We apply DopCheck with the latest versions (10 to 13) of Android Open Source Project (AOSP). Our evaluation involving 79 privacy-sensitive APIs demonstrates that DopCheck can effectively recognize DPCs from Android documentation and generate rigorous test cases. Our study reveals that the status quo of the DPC-compliance issues is concerning, evidenced by 19 bugs identified by DopCheck. Notably, 12 of them are discovered in Android 13 and 6 in Android 10 for the first time, posing more than 35% Android users to the risk of privacy leakage. Our findings should raise an alert to Android users and app developers on the DPC compliance issues when using or developing an app, and would also underscore the necessity for Google to comprehensively validate the actual implementation against its privacy documentation prior to the OS release."",""Yan, Chuan"; Meng, Mark Huasong; Xie, Fuman;" Bai, Guangdong"",2024,Proceedings of the ACM on Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"121,Code-Aware Prompting: A Study of Coverage-Guided Test Generation in Regression Setting using LLM,""Testing plays a pivotal role in ensuring software quality, yet conventional Search Based Software Testing (SBST) methods often struggle with complex software units, achieving suboptimal test coverage. Recent work using large language models (LLMs) for test generation have focused on improving generation quality through optimizing the test generation context and correcting errors in model outputs, but use fixed prompting strategies that prompt the model to generate tests without additional guidance. As a result LLM-generated testsuites still suffer from low coverage.In this paper, we present SymPrompt, a code-aware prompting strategy for LLMs in test generation. SymPrompt’s approach is based on recent work that demonstrates LLMs can solve more complex logical problems when prompted to reason about the problem in a multi-step fashion. We apply this methodology to test generation by deconstructing the testsuite generation process into a multi-stage sequence, each of which is driven by a specific prompt aligned with the execution paths of the method under test, and exposing relevant type and dependency focal context to the model. Our approach enables pretrained LLMs to generate more complete test cases without any additional training. We implement SymPrompt using the TreeSitter parsing framework and evaluate on a benchmark challenging methods from open source Python projects. SymPrompt enhances correct test generations by a factor of 5 and bolsters relative coverage by 26% for CodeGen2. Notably, when applied to GPT-4, SymPrompt improves coverage by over 2× compared to baseline prompting strategies."",""Ryan, Gabriel"; Jain, Siddhartha; Shang, Mingyue; Wang, Shiqi; Ma, Xiaofei; Ramanathan, Murali Krishna;" Ray, Baishakhi"",2024,Proceedings of the ACM on Software Engineering,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"122,NIODebugger: A Novel Approach to Repair Non-Idempotent-Outcome Tests with LLM-Based Agent,""Flaky tests, characterized by inconsistent results across repeated executions, present significant challenges in software testing, especially during regression testing. Recently, there has been emerging research interest in non-idempotent-outcome (NIO) flaky tests—tests that pass on the initial run but fail on subsequent executions within the same environment. Despite progress in utilizing Large Language Models (LLMs) to address flaky tests, existing methods have not tackled NIO flaky tests. The limited context window of LLMs restricts their ability to incorporate relevant source code beyond the test method itself, often overlooking crucial information needed to address state pollution, which is the root cause of NIO flakiness.This paper introduces NIODebugger, the first framework to utilize an LLM-based agent to repair flaky tests. NIODebugger features a three-phase design: detection, exploration, and fixing. In the detection phase, dynamic analysis collects stack traces and custom test execution logs from multiple test runs, which helps in understanding accumulative state pollution. During the exploration phase, the LLM-based agent provides instructions for extracting relevant source code associated with test flakiness. In the fixing phase, NIODebugger repairs the tests using the information gathered from the previous phases. NIODebugger can be integrated with multiple LLMs, achieving patching success rates ranging from 11.63% to 58.72%. Its best-performing variant, NIODebugger-GPT-4, successfully generated correct patches for 101 out of 172 previously unknown NIO tests across 20 large-scale open-source projects. We submitted pull requests for all generated patches";" 58 have been merged, only 1 was rejected, and the remaining 42 are pending. The Java implementation of NIODebugger is provided as a Maven plugin accessible at https://github.com/kaiyaok2/NIOInspector."",""Ke, Kaiyao"",2025,Proceedings of the IEEE/ACM 47th International Conference on Software Engineering,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"123,DivLog: Log Parsing with Prompt Enhanced In-Context Learning,""Log parsing, which involves log template extraction from semi-structured logs to produce structured logs, is the first and the most critical step in automated log analysis. However, current log parsers suffer from limited effectiveness for two reasons. First, traditional data-driven log parsers solely rely on heuristics or handcrafted features designed by domain experts, which may not consistently perform well on logs from diverse systems. Second, existing supervised log parsers require model tuning, which is often limited to fixed training samples and causes sub-optimal performance across the entire log source. To address this limitation, we propose DivLog, an effective log parsing framework based on the in-context learning (ICL) ability of large language models (LLMs). Specifically, before log parsing, DivLog samples a small amount of offline logs as candidates by maximizing their diversity. Then, during log parsing, DivLog selects five appropriate labeled candidates as examples for each target log and constructs them into a prompt. By mining the semantics of examples in the prompt, DivLog generates a target log template in a training-free manner. In addition, we design a straightforward yet effective prompt format to extract the output and enhance the quality of the generated log templates. We conducted experiments on 16 widely-used public datasets. The results show that DivLog achieves (1) 98.1% Parsing Accuracy, (2) 92.1% Precision Template Accuracy, and (3) 92.9% Recall Template Accuracy on average, exhibiting state-of-the-art performance."",""Xu, Junjielong"; Yang, Ruichun; Huo, Yintong; Zhang, Chengyu;" He, Pinjia"",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"124,Tex2Py-45K: A Parallel Corpus Dataset for Bidirectional Conversion Between LaTeX and Python,""LaTeX and Python, integral to the scientific research workflow, each offers specialized capabilities. Bidirectional LaTeX-Python conversion models could augment the efficacy and precision of scientific research. In this paper, we release the Tex2Py-45K dataset1, containing 45,668 LaTeX-Python pairs. Based on the Tex2Py-45K dataset, we propose SMML format and Hybrid training mode, which trained effective LaTeX-Python bidirectional conversion models. At last, we analyze failure cases of the LaTeX-Python bidirectional conversion, providing direction for future research."",""Li, Lei"; Duan, Manni;" Wang, Yongheng"",2024,Proceedings of the 2024 8th International Conference on Computer Science and Artificial Intelligence,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"125,ChatUniTest: A Framework for LLM-Based Test Generation,""Unit testing is an essential yet frequently arduous task. Various automated unit test generation tools have been introduced to mitigate this challenge. Notably, methods based on large language models (LLMs) have garnered considerable attention and exhibited promising results in recent years. Nevertheless, LLM-based tools encounter limitations in generating accurate unit tests. This paper presents ChatUniTest, an LLM-based automated unit test generation framework. ChatUniTest incorporates an adaptive focal context mechanism to encompass valuable context in prompts and adheres to a generation-validation-repair mechanism to rectify errors in generated unit tests. Subsequently, we have developed ChatUniTest Core, a common library that implements core workflow, complemented by the ChatUniTest Toolchain, a suite of seamlessly integrated tools enhancing the capabilities of ChatUniTest. Our effectiveness evaluation reveals that ChatUniTest outperforms TestSpark and EvoSuite in half of the evaluated projects, achieving the highest overall line coverage. Furthermore, insights from our user study affirm that ChatUniTest delivers substantial value to various stakeholders in the software testing domain. ChatUniTest is available at https://github.com/ZJU-ACES-ISE/ChatUniTest, and the demo video is available at https://www.youtube.com/watch?v=GmfxQUqm2ZQ."",""Chen, Yinghao"; Hu, Zehao; Zhi, Chen; Han, Junxiao; Deng, Shuiguang;" Yin, Jianwei"",2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
